n_i,x_i,n_j,x_j,y_i,dZ
22.0,0.902134890205646,3.0,0.9222899965144647,-0.020155106308818782,-0.02877059569074769
24.0,0.906581851980945,10.0,0.9222899965144647,-0.015708144533519763,-0.013656527249682804
46.0,0.930051121180434,19.0,0.9230568142209822,0.0069943069594518015,0.006717363751584382
62.0,0.9535639595677936,6.0,0.9253688857906353,0.028195073777158353,0.026848331220954424
35.0,0.9591814801905424,27.0,0.9530440339258738,0.006137446264668611,0.006611744824672416
51.0,0.9650458928778898,34.0,0.963035901010805,0.002009991867084726,0.0059146599070551975
50.0,0.9715406064830951,16.0,0.969243057976066,0.0022975485070291235,0.0033586818757920245
34.0,0.973094574183804,30.0,0.9722464273265948,0.0008481468572091311,0.0010245035910433353
34.0,0.9678186098674166,46.0,0.9678279217778752,-9.31191045860924e-06,0.00017371736751703448
11.0,0.9678263029454912,24.0,0.9679633181069166,-0.00013701516142539116,-7.911010006611541e-05
13.0,0.9679262123600242,17.0,0.9679913280805372,-6.51157205130426e-05,4.870365158393675e-06
0.0,0.9679262123600242,15.0,0.967992445228638,-6.623286861384692e-05,4.870365158393675e-06
35.0,0.96858232600379,7.0,0.967992445228638,0.0005898807751519852,0.0005484215413190663
23.0,0.9687355013736472,15.0,0.9681058618994276,0.0006296394742195677,0.0005940003045563635
55.0,0.9688479871609028,12.0,0.9684039607673648,0.00044402639353802176,0.00039146317546479015
29.0,0.969405596940804,18.0,0.9685074900404708,0.0008981069003332065,0.0006326783737058417
34.0,0.9698398969412908,22.0,0.9692450474270136,0.0005948495142772403,0.000608195637152642
22.0,0.969996915116108,17.0,0.96932568197325,0.0006712331428579965,0.0006070125917583269
25.0,0.970199453232136,17.0,0.9698799888518548,0.00031946438028118695,0.0003521766137050131
34.0,0.9702431103080216,31.0,0.970185529516422,5.7580791599565195e-05,5.959106319564089e-05
37.0,0.9482693583071128,10.0,0.9357071359593264,0.012562222347786367,0.013384465327644812
47.0,0.9492389998268292,18.0,0.9388590530076456,0.010379946819183639,0.012048051937527227
31.0,0.9520812661092856,22.0,0.9399047563263933,0.012176509782892309,0.012705273805829198
31.0,0.9530303335942228,25.0,0.9427962703330472,0.010234063261175597,0.009385426484157633
35.0,0.9530701364713148,35.0,0.9462970354027126,0.006773101068602183,0.006986207362885577
29.0,0.953129510188804,35.0,0.947070607995474,0.00605890219332994,0.006185723726605419
25.0,0.9533025897195068,35.0,0.94934480833427,0.003957781385236725,0.004608704642637629
23.0,0.9534553061142492,35.0,0.949874580467387,0.0035807256468621818,0.004257380125783028
31.0,0.9536614796596156,35.0,0.9503908750259826,0.003270604633632934,0.003817512207086593
11.0,0.9536922195874626,35.0,0.9508206668690192,0.0028715527184434153,0.003431769094003112
0.0,0.9536922195874626,10.0,0.9509742154591012,0.0027180041283614287,0.0033262340329053286
1.0,0.678247258546172,2.0,0.5061280322656655,0.17211922628050647,0.17477898167608652
0.0,0.678247258546172,4.0,0.5182579300609459,0.15998932848522607,0.16071005264576976
1.0,0.9383675538193208,17.0,0.8473693697614486,0.09099818405787219,0.08929301911673093
1.0,0.9641067943741518,8.0,0.8581018005064145,0.10600499386773732,0.10466417539762285
0.0,0.9641067943741518,25.0,0.8581018005064145,0.10600499386773732,0.10466417539762285
0.0,0.9641067943741518,36.0,0.9405834431471825,0.023523351226969358,0.02333170524369821
0.0,0.9641067943741518,28.0,0.9481480904114964,0.01595870396265542,0.015689180340279996
0.0,0.9641067943741518,30.0,0.9564037686939268,0.007703025680224962,0.007882671387126394
1.0,0.97088063276986,35.0,0.9645082908044504,0.006372341965409589,0.0061554349437289435
0.0,0.97088063276986,35.0,0.969867788309956,0.0010128444599040165,0.0011359356454901937
3.0,0.9798352764437966,35.0,0.9739810592520892,0.005854217191707423,0.0061144621379229935
31.0,0.964319374938552,15.0,0.968892616490354,-0.004573241551801943,-0.00463346469177095
31.0,0.9757932007998544,67.0,0.9734271094512312,0.0023660913486232005,0.00229405653385939
2.0,0.9757932007998544,58.0,0.9756978633542528,9.533744560163981e-05,0.00032397682557105956
69.0,0.9763015153681432,58.0,0.9762770855318852,2.4429836258055282e-05,-0.0001796580747567278
20.0,0.9763015153681432,13.0,0.9762770855318852,2.4429836258055282e-05,-0.00018645443887876922
5.0,0.9802646007244308,27.0,0.979195248522064,0.0010693522023668134,0.0010886521388240311
15.0,0.9921626396185862,35.0,0.9893954815799584,0.002767158038627815,0.0027631707250868054
20.0,0.9927958107442254,35.0,0.9908430422376956,0.0019527685065298117,0.001792830373697929
24.0,0.9932032987201416,29.0,0.9933244156947402,-0.00012111697459860071,-0.00029476074104639594
35.0,0.9933428328825836,35.0,0.9937324601973152,-0.00038962731473157763,-0.0005077922087232123
35.0,0.9933428328825836,35.0,0.9937379968676734,-0.0003951639850897637,-0.0005111863290347962
25.0,0.9951241676215586,24.0,0.99486229554691,0.00026187207464867246,0.00019455426449765945
31.0,0.7944966464006612,30.0,0.7922216561226106,0.0022749902780505593,0.0070431035623106375
35.0,0.8007040908990113,35.0,0.8308879723123204,-0.030183881413309077,-0.02646765083270497
34.0,0.8464896054916711,35.0,0.8417223346308553,0.004767270860815742,0.013779481990026099
35.0,0.8587926717864427,34.0,0.845736593850752,0.013056077935690746,0.018053791817135623
15.0,0.8614189503106967,15.0,0.8579871967738812,0.003431753536815463,0.008613106340198629
10.0,0.0270432586631928,34.0,0.0304233895296377,-0.0033801308664449005,-0.003284517951251103
8.0,0.0304669453609505,30.0,0.0312615361788734,-0.0007945908179229008,-0.0007790748528999983
12.0,0.0310085251491728,19.0,0.0313005812926066,-0.00029205614343379843,-0.0003388679209404971
10.0,0.0312452441350101,12.0,0.0313005812926066,-5.5337157596500874e-05,-0.0001658605706015004
23.0,0.0313733480317082,25.0,0.0313423661062401,3.09819254681043e-05,-3.3269467342399855e-05
15.0,0.0314090259584122,15.0,0.0313423661062401,6.665985217210041e-05,6.906527926401479e-06
5.0,0.8777241756201514,8.0,0.8793731817440082,-0.0016490061238568776,-0.001204858998145042
